fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed
yes   	2017	36	60	0	141.96	39.63	21	08	21
yes   	2012	37	53	0	151.37	43.23	22	08	19
yes	2014	35	54	0	162.28	48.13	23	08	16
yes   	2010	33	66	0	172.19	51.54	24	08	15
yes	2015	34	60	0	181.9	55	25	08	15
yes 	2016	31	79	0	191.26	58.09	26	08	20
yes	2008	33	83	0	201.01	59.47	27	08	23
yes 	2015	34	66	0	210.55	62.99	28	08	16
yes   	2010	34	46	0	221.35	67.72	29	08	20
no   	2013	35	70	0.8	181.14	37.76	30	08	19
no	2010	27	82	16.8	9.51	8.54	31	08	23
no 	2013	24	77	7.2	8.38	2.63	01	09	19
no	2017	22	88	10.1	7.57	1.32	02	09	17
no   	2017	25	77	3.8	8.29	2.13	03	09	16
no   	2013	30	73	0.1	16.28	3.58	04	09	18
yes   	2014	28	77	0	24.05	5.7	05	09	18
no   	2013	30	75	0.1	33.16	6.4	06	09	19
no   	2017	31	72	0.3	30.47	5.63	07	09	17
no   	2011	29	71	0.9	9.12	3.74	08	09	17
no   	2011	31	75	1	8.67	3.54	09	09	17
no   	2008	33	71	1.8	9.61	3.6	10	09	13
no   	2009	31	76	1.8	8.78	2.87	11	09	21
no   	2013	28	89	0	16.72	4.01	12	09	15
no   	2013	25	86	4.6	7.76	2.01	13	09	23
no   	2007	23	74	8.3	7.36	2.27	14	09	28
no   	2013	24	80	0.4	7.7	1.58	15	09	15
no   	2013	30	63	0	15.77	4.8	16	09	14
yes   	2013	32	51	0	24.72	8.38	17	09	16
yes   	2012	32	50	0	33.64	11.52	18	09	12
yes   	2009	28	55	0	42.1	14.39	19	09	14
yes	2008	27	83	0	49.31	16.04	20	09	18
yes   	2007	30	57	0	58.52	19.64	21	09	11
no   	2017	32	52	0.6	42.12	13.86	22	09	21
no   	2010	31	56	0.5	30.41	10.52	23	09	11
no   	2017	30	64	0.6	15.38	6.24	24	09	19
no   	2016	25	83	5.8	8.39	3.66	25	09	22
no   	2010	30	52	0	17.05	6.32	26	09	11
yes   	2016	30	65	0	25.05	9.35	27	09	13
no   	2007	31	45	0.7	9.28	7.49	28	09	16
no   	2007	25	82	1.8	7.73	3.35	29	09	18
no   	2010	25	76	1.4	7.53	2.51	30	09	16
no   	2009	33	73	0.7	8.55	3.75	01	06	14
no   	2011	29	74	4	8.48	3.17	02	06	14
no   	2017	30	82	2	7.77	2.87	03	06	15
no   	2016	29	63	0	15.84	6.09	04	06	15
no   	2009	32	58	0.2	18.23	6.86	05	06	15
yes   	2017	36	54	0.1	26.87	10.04	06	06	12
yes   	2008	35	46	0.2	29.5	11.58	07	06	19
no   	2012	28	49	1.3	8.38	7.55	08	06	19
no   	2016	27	61	0.1	15.14	8.55	09	06	19
yes   	2008	29	42	0	23.16	13.77	10	06	16
yes   	2009	32	44	0	30.63	18.89	11	06	23
yes   	2009	28	56	0	38.17	21.21	12	06	18
no   	2017	30	53	2	8.71	11.38	13	06	16
no   	2008	28	81	0.7	7.62	6.82	14	06	18
no   	2015	28	92	0	14.75	7.24	15	06	17
no   	2014	30	88	0.4	8.23	4.56	16	06	15
no   	2010	30	71	4.7	8.14	3.94	17	06	17
no   	2014	32	63	8.7	8.6	5	18	06	11
no   	2015	33	68	4.5	9.12	5.09	19	06	16
no   	2016	32	73	0.2	8.94	4.19	20	06	15
yes   	2017	32	55	0	18.6	8.44	21	06	16
no   	2014	33	47	1.1	8.37	7.87	22	06	14
no   	2007	33	57	0.8	8.52	7.07	23	06	18
yes   	2015	36	66	0	17.01	10.75	24	06	17
yes   	2010	34	72	0	26.04	13.34	25	06	17
yes   	2016	36	64	0	34.92	17.24	26	06	17
yes   	2007	35	53	0	43.33	21.39	27	06	16
yes   	2013	36	35	0	52.77	27.51	28	06	14
yes   	2010	37	36	0.6	37.44	18.8	29	06	14
no     	2014	35	42	1.7	8.86	11.55	30	06	16
no   	2009	27	56	2.2	8.92	4.19	01	07	20
yes   	2017	34	47	0	18.57	7.9	02	07	16
yes   	2013	35	56	0.1	27.32	10.47	03	07	17
yes   	2007	34	60	0	37.56	14.94	04	07	18
yes   	2008	33	46	0	46.53	19.47	05	07	18
yes   	2010	35	40	0.3	45.97	17.4	06	07	16
no   	2008	33	61	1.1	57.35	22.04	24	07	19
no   	2011	39	65	1.2	16.39	11.74	25	07	9
no   	2015	36	56	0.2	20.61	10.77	26	07	12
no   	2007	30	86	0	28.64	12.22	27	07	18
yes   	2012	34	55	0	37.76	15.73	28	07	17
yes   	2012	35	57	0	48.17	19.91	29	07	16
yes   	2014	36	57	0	58.1	24.42	30	07	18
yes   	2009	36	53	0	67.29	28.65	31	07	15
no   	2017	38	54	0	11.5	5.07	01	08	14
yes   	2017	40	36	0	21.94	10.84	02	08	14
yes   	2012	40	31	0	32.14	17.34	03	08	19
yes   	2011	39	36	0	42.99	23.88	04	08	15
yes   	2007	35	41	0.1	53.04	23.8	05	08	18
no   	2017	29	54	3.1	9.27	11.37	06	08	14
no   	2014	33	65	2.9	10.76	6.9	07	08	15
yes   	2011	38	56	0	20.36	11.04	08	08	13
yes   	2013	39	44	0	31.03	16.41	09	08	12
yes   	2008	40	40	0.2	36.15	16.18	10	08	15
yes   	2017	41	33	0	46.38	23.1	11	08	17
yes   	2016	38	21	0.4	41.58	18.85	12	08	17
yes   	2015	34	36	0.2	45.69	17.83	13	08	16
yes   	2013	36	38	0	55.82	22.47	14	08	14
yes   	2016	34	45	0.3	54.29	19.47	15	08	14
yes   	2012	40	42	0.1	65.53	24.28	16	08	12
yes   	2012	43	23	0	76.99	30.87	17	08	11
yes   	2011	37	39	0	87.17	36.48	18	08	14
yes   	2007	35	67	0.1	96.83	36.06	19	08	15
yes   	2016	35	80	0	107.14	38.23	20	08	16
yes   	2010	37	72	0	117.49	41.62	21	08	17
yes   	2008	36	53	0	128.08	46.25	22	08	16
yes   	2012	37	44	0	138.67	50.76	23	08	16
yes   	2015	34	39	0	148.34	55.68	24	08	16
yes   	2009	33	38	0	157.59	60.2	25	08	20
yes   	2008	33	38	0	167.94	64.13	26	08	18
yes   	2015	36	54	0	177.81	68.27	27	08	14
no   	2009	34	57	0.4	166.58	30.69	28	08	14
yes   	2014	34	52	0.5	149.21	31.05	29	08	18
yes   	2013	35	47	0	159.81	36.57	30	08	17
yes   	2007	31	60	0	168.73	39.65	31	08	20
no   	2011	30	85	0	8.63	1.44	01	09	17
no   	2008	27	69	0	17.24	4.56	02	09	21
yes   	2009	29	76	0	25	6.44	03	09	17
no   	2012	29	64	0.2	27.59	6.1	04	09	15
no   	2007	29	59	4.1	8.67	4.42	05	09	13
no   	2011	35	70	6.5	9.45	3.84	06	09	16
yes   	2012	32	60	0	18.53	6.88	07	09	16
yes   	2012	31	87	0	26.95	8.61	08	09	14
yes   	2010	29	78	0	35.09	10.5	09	09	16
no   	2007	28	73	1.1	8.34	5.13	10	09	16
no   	2015	29	75	0	16.94	6.81	11	09	15
yes   	2016	31	70	0	25.72	9.58	12	09	14
yes   	2008	28	49	0	33.54	13.21	13	09	20
yes   	2017	28	81	0	42	14.97	14	09	15
yes   	2014	32	52	0	50.74	18.18	15	09	15
yes   	2009	34	28	0	59.66	22.83	16	09	13
yes   	2008	35	43	0	64.07	27.11	17	09	12
yes   	2016	37	31	0.1	78.35	28.76	18	09	14
yes   	2009	29	43	0.1	86.71	28.93	19	09	10
no   	2011	34	60	0.2	88.35	24.82	20	09	15
yes   	2008	36	33	0	98.06	30.36	21	09	18
yes   	2009	34	65	0	106.34	32.43	22	09	15
yes   	2016	34	55	0	115.7	36.29	23	09	15
no   	2008	26	47	2	28.88	12.35	24	09	6
no   	2009	29	70	0	36.17	14.36	25	09	15
yes   	2017	31	67	0	45.15	17.89	26	09	15
no   	2017	29	89	4.4	8.74	6.52	27	09	15
no   	2009	27	88	0.5	8.87	3.71	28	09	30
no   	2016	25	56	0.1	15.54	6.1	29	09	20
no    	2012	24	62	0.2	16.72	5.75	30	09	17
